Id,Label,Type,Occurrences Count,ID (type 1),Time Interval,Investments
company_c90679a98f25ba660cbd77a6bcc605b1,threadneedle asset management,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 36]>","<[2009.0, 2010.0]>",
company_1e46a7842ff4f2b38198f603af77402e,tiger global management,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 3]>","<[2008.0, 2009.0, 436); [2009.0, 2010.0, 437 | 438]>","<[2008.0, 2009.0]; [2009.0, 2010.0]>",
company_c7007552059bf33955d47650ff320a2d,tiger partners,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 439]>","<[2009.0, 2010.0]>",
company_93710400f3941eb7a2526e481f439aa0,timberland,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 440]>","<[2010.0, 2011.0]>",
company_15e46ebef42612cb2ec83fbfa917b847,titan international,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 442]>","<[2009.0, 2010.0]>",
company_0d41873e1ae1c543e780ca9ed71f9e88,tmd friction,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2008.0, 2009.0, 443]; [2010.0, 2011.0, 444]>","<[2008.0, 2009.0]; [2010.0, 2011.0]>",
company_82d0eda66a9537ac3b6a4bfd881707d5,tmf group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 153]>","<[2009.0, 2010.0]>",
company_e94fd6682103278427e39a72ce71a674,tower 2008 charitable trust,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 445]>","<[2009.0, 2010.0]>",
company_9be6ea07c6a8db992b736acadd5642d2,towerbrook capital partners,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 446]>","<[2009.0, 2010.0]>",
company_a23857c79fa9116a88fdaa97661f3086,trafalgar overseas,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 447]>","<[2010.0, 2011.0]>",
